data,servico,id_veiculo_amostra,hora_inicio,hora_fim,sentido_amostra,datetime_partida_amostra,datetime_chegada_amostra,status,servico_informado,id_veiculo_apurada,sentido_apurada,datetime_partida_apurada,datetime_chegada_apurada
2022-09-14,663,B28514,05:48:00,06:43:00,I,2022-09-14 05:48:00,2022-09-14 06:43:00,O veículo existe e operou na linha indicada pelo recurso,663,B28514,C,2022-09-14 05:49:03,2022-09-14 07:32:33
2022-09-27,663,B28514,05:50:00,06:46:00,I,2022-09-27 05:50:00,2022-09-27 06:46:00,O veículo existe e operou na linha indicada pelo recurso,663,B28514,C,2022-09-27 05:51:39,2022-09-27 07:37:09
2022-09-27,663,B28600,06:14:00,07:07:00,I,2022-09-27 06:14:00,2022-09-27 07:07:00,O veículo existe e operou na linha indicada pelo recurso,663,B28600,C,2022-09-27 06:15:13,2022-09-27 07:56:13
2023-07-05,663,B28570,05:56:00,06:57:00,I,2023-07-05 05:56:00,2023-07-05 06:57:00,O veículo existe e operou na linha indicada pelo recurso,663,B28570,I,2023-07-05 05:57:54,2023-07-05 06:51:54
2023-07-05,663,B28570,07:03:00,07:57:00,V,2023-07-05 07:03:00,2023-07-05 07:57:00,O veículo existe e operou na linha indicada pelo recurso,663,B28570,V,2023-07-05 07:05:24,2023-07-05 07:54:24
2023-07-13,663,B28570,05:57:00,06:52:00,I,2023-07-13 05:57:00,2023-07-13 06:52:00,O veículo existe e operou na linha indicada pelo recurso,663,B28570,I,2023-07-13 05:58:19,2023-07-13 06:51:49
2023-07-13,663,B28570,07:04:00,07:59:00,V,2023-07-13 07:04:00,2023-07-13 07:59:00,O veículo existe e operou na linha indicada pelo recurso,663,B28570,V,2023-07-13 07:06:19,2023-07-13 07:59:49
2023-07-18,663,B28570,05:55:00,06:49:00,I,2023-07-18 05:55:00,2023-07-18 06:49:00,O veículo existe e operou na linha indicada pelo recurso,663,B28570,I,2023-07-18 05:56:43,2023-07-18 06:48:13
2023-07-18,663,B28570,07:02:00,07:54:00,V,2023-07-18 07:02:00,2023-07-18 07:54:00,O veículo existe e operou na linha indicada pelo recurso,663,B28570,V,2023-07-18 07:04:13,2023-07-18 07:51:13
2023-07-05,663,B28567,06:20:00,07:18:00,I,2023-07-05 06:20:00,2023-07-05 07:18:00,O veículo existe e operou na linha indicada pelo recurso,663,B28567,I,2023-07-05 06:22:02,2023-07-05 07:17:32
2023-07-13,663,B28567,06:22:00,07:24:00,I,2023-07-13 06:22:00,2023-07-13 07:24:00,O veículo existe e operou na linha indicada pelo recurso,663,B28567,I,2023-07-13 06:23:03,2023-07-13 07:23:33
2023-07-18,663,B28567,06:22:00,07:14:00,I,2023-07-18 06:22:00,2023-07-18 07:14:00,O veículo existe e operou na linha indicada pelo recurso,663,B28567,I,2023-07-18 06:23:07,2023-07-18 07:13:07
2023-07-18,663,B28567,07:23:00,08:22:00,V,2023-07-18 07:23:00,2023-07-18 08:22:00,O veículo existe e operou na linha indicada pelo recurso,663,B28567,V,2023-07-18 07:24:07,2023-07-18 08:16:37
2023-07-05,663,B28567,06:20:00,07:18:00,V,2023-07-05 06:20:00,2023-07-05 07:18:00,Viagem inválida - sobreposição de viagem,,,,,
2023-07-13,663,B28567,06:21:00,07:26:00,V,2023-07-13 06:21:00,2023-07-13 07:26:00,Viagem inválida - sobreposição de viagem,,,,,
2022-09-14,663,B28514,06:46:00,07:35:00,V,2022-09-14 06:46:00,2022-09-14 07:35:00,Viagem inválida - a linha é circular,,,,,
2022-09-14,663,B28631,06:16:00,07:13:00,I,2022-09-14 06:16:00,2022-09-14 07:13:00,Encontrado sinal de GPS para o veículo no mesmo horário e serviço,,,,,
2022-09-14,663,B28605,07:33:00,08:22:00,V,2022-09-14 07:33:00,2022-09-14 08:22:00,Encontrado sinal de GPS para o veículo no mesmo horário e serviço,,,,,
2022-09-22,663,B28514,05:46:00,06:35:00,I,2022-09-22 05:46:00,2022-09-22 06:35:00,Encontrado sinal de GPS para o veículo no mesmo horário e serviço,,,,,
2022-09-22,663,B28514,06:55:00,07:58:00,V,2022-09-22 06:55:00,2022-09-22 07:58:00,Encontrado sinal de GPS para o veículo no mesmo horário e serviço,,,,,
2022-09-22,663,B28631,06:14:00,07:04:00,I,2022-09-22 06:14:00,2022-09-22 07:04:00,Encontrado sinal de GPS para o veículo no mesmo horário e serviço,,,,,
2022-09-22,663,B28631,07:07:00,08:03:00,V,2022-09-22 07:07:00,2022-09-22 08:03:00,Encontrado sinal de GPS para o veículo no mesmo horário e serviço,,,,,
2022-09-27,663,B28514,06:51:00,07:39:00,V,2022-09-27 06:51:00,2022-09-27 07:39:00,Viagem inválida - a linha é circular,,,,,
2022-09-27,663,B28600,07:10:00,07:57:00,V,2022-09-27 07:10:00,2022-09-27 07:57:00,Viagem inválida - a linha é circular,,,,,
